Region,happiness_score
Australia and New Zealand,7.2675
North America,7.085
Western Europe,6.8984
Latin America and Caribbean,5.954428571428572
Eastern Asia,5.688833333333332
Central and Eastern Europe,5.5667333333333335
Southeastern Asia,5.273666666666667
Middle East and Northern Africa,5.208550000000001
Southern Asia,4.526857142857143
Sub-Saharan Africa,4.290615384615385
